COUNTRY,EDATE,PARTY,PERVOTE,VOTEEST,PRESVOTE,ABSSEAT,TOTSEATS,PROGTYPE,PER101,PER102,PER103,PER104,PER105,PER106,PER107,PER108,PER109,PER110,PER201,PER202,PER203,PER204,PER301,PER302,PER303,PER304,PER305,PER401,PER402,PER403,PER404,PER405,PER406,PER407,PER408,PER409,PER410,PER411,PER412,PER413,PER414,PER415,PER416,PER501,PER502,PER503,PER504,PER505,PER506,PER507,PER601,PER602,PER603,PER604,PER605,PER606,PER607,PER608,PER701,PER702,PER703,PER704,PER705,PER706,PERUNCOD,TOTAL,RILE,PLANECO,MARKECO,WELFARE,INTPEACE
11,26/9/1956,11810,9.45039478466642,0,99.99,19,231,1,0.9,0,0,1.8,0.9,2.7,0,0,0,0,0,0,0,0,1.8,0,0.9,0,0,2.7,7.1,0,0,0,1.8,0,1.8,1.8,2.7,1.8,0,0,3.6,0,0,0.9,0.9,1.8,5.4,0,7.1,0,0.9,0,2.7,0,0.9,0,0.9,0,0,0,36.6,0,0,2.7,99.99,110,1.8,0,6.3,7.2,3.6
11,1/6/1958,11220,3.36395740965993,0,99.99,5,231,1,0,0,0,0,10.3,0.2,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0,0.2,2.8,0.2,0,0,0,3.7,0,0,6.1,0.5,0,2.8,0,0,1.9,14.5,4,26.3,0,7.9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,99.99,429,-41.7,3.5,2.8,30.3,10.5
11,1/6/1958,11320,46.2161949840957,0,99.99,111,231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,2,5.2,1.2,0.5,0,1.3,0,2.8,0.8,2,4.3,0,0,0.7,0,0,0,0,3.2,22.5,0.2,8,0,0,0,0,0,0,1,0,0,0.3,0,4.8,0,0,0,99.99,600,-24.7,1.7,2.7,25.7,0
11,1/6/1958,11420,18.2094982326861,0,99.99,38,231,1,0,0,0,2,2,3.9,3.9,2,0,0,7.8,2,0,0,2,0,2,0,0,5.9,17.7,0,0,0,0,0,0,0,2,3.9,0,0,5.9,0,0,0,0,0,9.8,3.9,5.9,0,0,0,5.9,0,0,0,2,0,0,0,0,0,0,2,99.99,51,21.6,0,11.8,9.8,5.9
11,1/6/1958,11620,19.518283400776,0,99.99,45,231,1,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.5,0,0,0.8,2.3,0,0,0,0,0,0,0,0,0.8,0,0,49.2,0,0,0,0,0,8.5,11.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,130,56.1,0,50,8.5,0
11,1/6/1958,11810,12.6620211162015,0,99.99,32,231,1,0,0,0,0.8,0,0.8,1.6,0,0,0,0,0,0,0,7.1,0,0.8,0,0,7.1,11.9,1.6,0,0,0.8,0,0,4,0.8,2.4,0,0,6.4,0,0,0,1.6,1.6,15.1,3.2,1.6,0,0,0,3.2,0,0.8,0,0.8,0,0,0,14.3,0,0,4,99.99,126,11.9,1.6,13.5,16.7,0.8
11,18/9/1960,11220,4.47942861897918,0,99.99,5,232,1,0,0,0,0,9.5,13.1,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,7.1,0,1.2,0,2.4,1.2,5.9,0,0,0,0,2.4,7.1,0,3.6,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,1.2,99.99,84,-40.5,10.7,5.9,9.5,22.6
11,18/9/1960,11320,47.7894104389304,0,99.99,114,232,1,0,0,0,0.3,0,3.1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,2.9,0,0,0,0,0.8,0,0.5,0,1.3,0,0.5,0,0,0,0.3,2.3,43.9,0,11,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,7.1,99.99,389,-61.4,4.2,0.5,46.2,3.1
11,18/9/1960,11420,17.4922909917318,0,99.99,40,232,1,0,2.2,0,2.2,0,4.4,4.4,2.2,0,0,0,2.2,0,0,0,0,0,0,0,6.5,6.5,0,0,0,0,2.2,2.2,0,0,0,0,0,10.9,0,0,0,0,6.5,10.9,0,6.5,0,0,0,6.5,0,2.2,0,4.4,0,0,0,0,0,0,4.4,99.99,46,8.6,0,17.4,17.4,6.6
11,18/9/1960,11620,16.5572666834974,0,99.99,39,232,1,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0.6,0,0,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,1.1,1.1,2,0.3,0,0,0,1.1,0,0.3,0,0,0,0,0,13.8,0,0,0.6,99.99,354,34.8,0,22.6,2.2,0
